"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 13 03:59:52 GMT 2023","Thu Apr 13 03:59:58 GMT 2023","5769","","Google test","","Verifies Google page is displayed in Firefox browser","","Verifies Google page is displayed in Firefox browser",""
"failed","Thu Apr 13 03:59:42 GMT 2023","Thu Apr 13 03:59:47 GMT 2023","5044","","Google test","","Verifies Google page is displayed","","Verifies Google page is displayed",""
