"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 13 03:55:59 GMT 2023","Thu Apr 13 03:56:04 GMT 2023","4707","","Google test","","Verifies Google page is displayed in Firefox browser","","Verifies Google page is displayed in Firefox browser",""
"failed","Thu Apr 13 03:55:51 GMT 2023","Thu Apr 13 03:55:55 GMT 2023","3921","","Google test","","Verifies Google page is displayed","","Verifies Google page is displayed",""
