"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 13 03:22:26 GMT 2023","Thu Apr 13 03:22:31 GMT 2023","5321","","Google test","","Verifies Google page is displayed in Firefox browser","","Verifies Google page is displayed in Firefox browser",""
"failed","Thu Apr 13 03:22:18 GMT 2023","Thu Apr 13 03:22:22 GMT 2023","3993","","Google test","","Verifies Google page is displayed","","Verifies Google page is displayed",""
