"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 25 04:53:50 GMT 2023","Sat Mar 25 04:53:56 GMT 2023","5947","","Google test","","Verifies Google page is displayed in Firefox browser","","Verifies Google page is displayed in Firefox browser",""
"failed","Sat Mar 25 04:53:41 GMT 2023","Sat Mar 25 04:53:45 GMT 2023","4468","","Google test","","Verifies Google page is displayed","","Verifies Google page is displayed",""
